id,video_url,view_count,likes,retweets,post
169,https://twitter.com/HumanDilemma_/status/1590051390864338945?s=20&t=VfSTkgiDtNRGAlLEfJAKfQ,,,,
170,https://twitter.com/HaddonLockyer/status/1590051873855184897?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
171,https://twitter.com/Rivershits_/status/1590051944378556416?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
172,https://twitter.com/LaurentDuMcse/status/1590052141745377282?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
173,https://twitter.com/NewsBecker/status/1590052164906364928?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
174,https://twitter.com/mbarkimigre/status/1590053227902382081?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
175,https://twitter.com/AmericanoMedia/status/1590053999113224192?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
176,https://twitter.com/JBmode27/status/1590054018000121856?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
177,https://twitter.com/BluecollarBran/status/1590054421383491584?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
178,https://twitter.com/wellerjutta3/status/1590054605219848193?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
179,https://twitter.com/KSharrit/status/1590054832584400896?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
180,https://twitter.com/Ex_Supra_9/status/1590054991381024769?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
181,https://twitter.com/KSharrit/status/1590054832584400896?s=20&t=VfSTkgiDtNRGAlLEfJAKfQ,,,,
182,https://twitter.com/Ex_Supra_9/status/1590054991381024769?s=20&t=VfSTkgiDtNRGAlLEfJAKfQ,,,,
183,https://twitter.com/thesnip24382774/status/1590055088571441152?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
184,https://twitter.com/AmericanoMedia/status/1590055232310218753?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
185,https://twitter.com/AmericanoMedia/status/1590055232310218753?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
186,https://twitter.com/JamesAndrewGra1/status/1590057282762854400?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
187,https://twitter.com/JeffFilali/status/1590057606659207168?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
188,https://twitter.com/korrupterscholz/status/1590059263086723072?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
189,https://twitter.com/angyl3513/status/1590059376517472257?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
190,https://twitter.com/JustynaMaria84/status/1590059987224518656?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
191,https://twitter.com/patriot_singles/status/1590060231140134913?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
192,https://twitter.com/ColdWarPatriot/status/1590060951532843010?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
193,https://twitter.com/Elna10476048/status/1590061713394528256?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
194,https://twitter.com/davide3666/status/1590062059689250816?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
196,https://twitter.com/charliekirk11/status/1590062542889844737,,,,
197,https://twitter.com/charliekirk11/status/1590062542889844737?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
198,https://twitter.com/CoccaNick/status/1590062544433336321?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
199,https://twitter.com/ricwe123/status/1590062566461427712?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
200,https://twitter.com/ricwe123/status/1590062566461427712?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
201,https://twitter.com/j_dog1st/status/1590063745849774080?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
202,https://twitter.com/ColdWarPatriot/status/1590063793127948294?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
203,https://twitter.com/GirlKarlie/status/1590064200625307650?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
204,https://twitter.com/Cooter888/status/1590065301919784960?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
205,https://twitter.com/untold_23/status/1590065395054305280?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
206,https://twitter.com/LBasemi/status/1590065584817201152?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
207,https://twitter.com/Fredyandradea/status/1590065984899280901?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
208,https://twitter.com/Fredyandradea/status/1590065984899280901?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
209,https://twitter.com/Noticia_Libre/status/1590066190809894914?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
210,https://twitter.com/DMHPatriot/status/1590066389150486528?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
211,https://twitter.com/KatPack10/status/1590066718675996672?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
212,https://twitter.com/KatPack10/status/1590066987652128768?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
213,https://twitter.com/THEFLOWER008/status/1590067394256703488?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
214,https://twitter.com/raymartinmusic/status/1590067662394372098?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
215,https://twitter.com/Marckovvvvv2/status/1590067761237360642?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
216,https://twitter.com/ChrisPatriot83/status/1590067844041314304?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
217,https://twitter.com/2_bloempje/status/1590067990284103680?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
218,https://twitter.com/SinedWarrior/status/1590068446880215041?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
219,https://twitter.com/Bubblebathgirl/status/1590068509123391488?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
220,https://twitter.com/Bubblebathgirl/status/1590068509123391488?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
221,https://twitter.com/EricArchambaul7/status/1590068864422854656?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
223,https://twitter.com/NewsJunkieBreak/status/1590070296350187520?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
224,https://twitter.com/Roelofs59599521/status/1590070518396645378?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
225,https://twitter.com/UrantianL/status/1590071791191744512?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
226,https://twitter.com/kelliwillmore/status/1590072043390713856?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
227,https://twitter.com/Elna10476048/status/1590072286362865664?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
228,https://twitter.com/ingridschaaf2/status/1590072522770644992?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
229,https://twitter.com/CricktsFromLeft/status/1590072636989898753?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
230,https://twitter.com/nowthisnews/status/1590072414049775616?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
231,https://twitter.com/patriot_singles/status/1590072866833592321?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
232,https://twitter.com/NAVIQ111811/status/1590254852114116608?s=20&t=7EDZp0kBRT1Jwv1BRINKGw,,,,
233,https://twitter.com/bennyjohnson/status/1590074052504604673?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
234,https://twitter.com/1streputation/status/1590074662959972353?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
235,https://twitter.com/upstatequeenc/status/1590074935833026560?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
236,https://twitter.com/RedWaveClips/status/1590075104028868609?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
237,https://twitter.com/c/status/1590075602832617473?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
